Index,Name
0,TLXbar.beatsLeft
1,TLXbar.readys_mask[0]
2,TLXbar.readys_mask[1]
3,TLXbar.state_0
4,TLXbar.state_1
5,Queue.enq_ptr_value
6,Queue.deq_ptr_value
7,Queue.maybe_full
8,Queue_1.enq_ptr_value
9,Queue_1.deq_ptr_value
10,Queue_1.maybe_full
11,Repeater.full
12,Repeater.saved_size[0]
13,Repeater.saved_size[1]
14,Repeater.saved_size[2]
15,Repeater.saved_source[0]
16,Repeater.saved_source[1]
17,Repeater.saved_address[0]
18,Repeater.saved_address[1]
19,Repeater.saved_address[2]
20,Repeater.saved_address[3]
21,Repeater.saved_address[4]
22,Repeater.saved_address[5]
23,Repeater.saved_address[6]
24,Repeater.saved_address[7]
25,Repeater.saved_address[8]
26,Repeater.saved_address[9]
27,Repeater.saved_address[10]
28,Repeater.saved_address[11]
29,Repeater.saved_address[12]
30,Repeater.saved_address[13]
31,Repeater.saved_address[14]
32,Repeater.saved_address[15]
33,Repeater.saved_address[16]
34,Repeater.saved_address[17]
35,Repeater.saved_address[18]
36,Repeater.saved_address[19]
37,Repeater.saved_address[20]
38,Repeater.saved_address[21]
39,Repeater.saved_address[22]
40,Repeater.saved_address[23]
41,Repeater.saved_address[24]
42,Repeater.saved_address[25]
43,Repeater.saved_address[26]
44,Repeater.saved_address[27]
45,Repeater.saved_address[28]
46,Repeater.saved_mask[0]
47,Repeater.saved_mask[1]
48,Repeater.saved_mask[2]
49,Repeater.saved_mask[3]
50,Repeater.saved_mask[4]
51,Repeater.saved_mask[5]
52,Repeater.saved_mask[6]
53,Repeater.saved_mask[7]
54,TLFragmenter.acknum
55,TLFragmenter.dOrig[0]
56,TLFragmenter.dOrig[1]
57,TLFragmenter.dOrig[2]
58,TLFragmenter.dToggle
59,TLFragmenter.gennum
60,TLFragmenter.aToggle_r
61,Queue_2.maybe_full
62,Queue_3.maybe_full
63,Queue_4.maybe_full
64,Queue_5.maybe_full
65,Queue_6.maybe_full
66,Queue_7.maybe_full
67,Queue_8.maybe_full
68,Queue_9.maybe_full
69,Queue_10.maybe_full
70,Queue_11.maybe_full
71,Queue_12.maybe_full
72,Queue_13.maybe_full
73,Queue_14.maybe_full
74,Queue_15.maybe_full
75,Queue_16.maybe_full
76,Queue_17.maybe_full
77,Queue_18.maybe_full
78,Queue_19.maybe_full
79,Queue_20.maybe_full
80,Queue_21.maybe_full
81,Queue_22.maybe_full
82,Queue_23.maybe_full
83,Queue_24.maybe_full
84,Queue_25.maybe_full
85,Queue_26.maybe_full
86,Queue_27.maybe_full
87,Queue_28.maybe_full
88,Queue_29.maybe_full
89,Queue_30.maybe_full
90,Queue_31.maybe_full
91,Queue_32.maybe_full
92,Queue_33.maybe_full
93,Queue_34.maybe_full
94,Queue_35.maybe_full
95,TLToAXI4.count_16
96,TLToAXI4.count_15
97,TLToAXI4.count_14
98,TLToAXI4.count_13
99,TLToAXI4.count_12
100,TLToAXI4.count_11
101,TLToAXI4.count_10
102,TLToAXI4.count_9
103,TLToAXI4.count_8
104,TLToAXI4.count_7
105,TLToAXI4.count_6
106,TLToAXI4.count_5
107,TLToAXI4.count_4
108,TLToAXI4.count_3
109,TLToAXI4.count_2
110,TLToAXI4.count_1
111,TLToAXI4.counter
112,TLToAXI4.doneAW
113,TLToAXI4.r_holds_d
114,TLToAXI4.b_delay[0]
115,TLToAXI4.b_delay[1]
116,TLToAXI4.b_delay[2]
117,TLToAXI4.r_first
118,TLToAXI4.r_denied_r
119,Queue_36.enq_ptr_value
120,Queue_36.deq_ptr_value
121,Queue_36.maybe_full
122,TLBroadcastTracker.got_e
123,TLBroadcastTracker.sent_d
124,TLBroadcastTracker.shared
125,TLBroadcastTracker.opcode[0]
126,TLBroadcastTracker.opcode[1]
127,TLBroadcastTracker.opcode[2]
128,TLBroadcastTracker.size[0]
129,TLBroadcastTracker.size[1]
130,TLBroadcastTracker.size[2]
131,TLBroadcastTracker.source[0]
132,TLBroadcastTracker.source[1]
133,TLBroadcastTracker.address[0]
134,TLBroadcastTracker.address[1]
135,TLBroadcastTracker.address[2]
136,TLBroadcastTracker.address[3]
137,TLBroadcastTracker.address[4]
138,TLBroadcastTracker.address[5]
139,TLBroadcastTracker.address[6]
140,TLBroadcastTracker.address[7]
141,TLBroadcastTracker.address[8]
142,TLBroadcastTracker.address[9]
143,TLBroadcastTracker.address[10]
144,TLBroadcastTracker.address[11]
145,TLBroadcastTracker.address[12]
146,TLBroadcastTracker.address[13]
147,TLBroadcastTracker.address[14]
148,TLBroadcastTracker.address[15]
149,TLBroadcastTracker.address[16]
150,TLBroadcastTracker.address[17]
151,TLBroadcastTracker.address[18]
152,TLBroadcastTracker.address[19]
153,TLBroadcastTracker.address[20]
154,TLBroadcastTracker.address[21]
155,TLBroadcastTracker.address[22]
156,TLBroadcastTracker.address[23]
157,TLBroadcastTracker.address[24]
158,TLBroadcastTracker.address[25]
159,TLBroadcastTracker.address[26]
160,TLBroadcastTracker.address[27]
161,TLBroadcastTracker.address[28]
162,TLBroadcastTracker.address[29]
163,TLBroadcastTracker.address[30]
164,TLBroadcastTracker.address[31]
165,TLBroadcastTracker.count
166,Queue_37.enq_ptr_value
167,Queue_37.deq_ptr_value
168,Queue_37.maybe_full
169,TLBroadcastTracker_1.got_e
170,TLBroadcastTracker_1.sent_d
171,TLBroadcastTracker_1.shared
172,TLBroadcastTracker_1.opcode[0]
173,TLBroadcastTracker_1.opcode[1]
174,TLBroadcastTracker_1.opcode[2]
175,TLBroadcastTracker_1.size[0]
176,TLBroadcastTracker_1.size[1]
177,TLBroadcastTracker_1.size[2]
178,TLBroadcastTracker_1.source[0]
179,TLBroadcastTracker_1.source[1]
180,TLBroadcastTracker_1.address[0]
181,TLBroadcastTracker_1.address[1]
182,TLBroadcastTracker_1.address[2]
183,TLBroadcastTracker_1.address[3]
184,TLBroadcastTracker_1.address[4]
185,TLBroadcastTracker_1.address[5]
186,TLBroadcastTracker_1.address[6]
